orbital,energy_hartree,occupation,ligand_population
0,-20.278948721507188,2.0,6.150573857570606e-13
1,-20.259357811625943,2.0,1.0000000000000282
2,-20.252246863049542,2.0,0.9999999980815985
3,-20.234385576284108,2.0,1.000000000000807
4,-20.218798096974766,2.0,-3.5560524767475747e-14
5,-20.195089393117378,2.0,-9.59909861817105e-07
6,-20.16039481799602,2.0,-2.8654140866238124e-13
7,-19.937359014329704,2.0,-1.3400617432409979e-05
8,-19.922853625669468,2.0,-1.3314165853265672e-06
9,-15.559871692212214,2.0,-1.9887837295362202e-17
10,-15.557591585370131,2.0,-2.5444575311076087e-14
11,-15.489127612715272,2.0,0.9999999988366643
12,-15.483577598958277,2.0,-5.76142002660572e-16
13,-15.348689711540562,2.0,0.9999996186090928
14,-15.338386618104616,2.0,0.9999999356491529
15,-15.328474332605898,2.0,1.0000001868772723
16,-15.323955909861734,2.0,4.518819955760275e-13
17,-15.238172564678367,2.0,1.743449401578664e-13
18,-15.197728295169238,2.0,1.319228667463074e-10
19,-15.187591954538696,2.0,5.580762764771699e-13
20,-11.406603795458272,2.0,-7.071345953179776e-16
21,-11.222586087804022,2.0,1.000000057909255
22,-11.1823607083259,2.0,1.495690667187833e-11
23,-11.162310086794507,2.0,1.0000000034397618
24,-11.150396155055898,2.0,1.0000000000180476
25,-11.104915348047403,2.0,3.9530296963989206e-14
26,-11.101963180570804,2.0,4.781649578412633e-11
27,-11.100520804387653,2.0,1.0055277797721602e-11
28,-11.099476864094553,2.0,-1.4895021370410748e-12
29,-11.087705786425083,2.0,2.0346682251641455e-10
30,-11.06064674691029,2.0,1.0000011551141232
31,-11.058403272298007,2.0,1.0000000000000049
32,-11.055773232228189,2.0,0.9999999919485765
33,-11.054884303246592,2.0,0.9999999999690053
34,-11.052464920107854,2.0,0.9999999997453697
35,-11.046083209095816,2.0,4.864605483261527e-11
36,-11.039337720297418,2.0,0.999999996786591
37,-11.03585005712845,2.0,1.0000000000053866
38,-11.034989291656512,2.0,-3.910770434714657e-12
39,-11.031081178397587,2.0,-4.239432493055589e-08
40,-11.028702299876118,2.0,8.371674281634953e-12
41,-11.016488711001056,2.0,2.602807493778818e-10
42,-11.006852688703594,2.0,0.9999999997883537
43,-11.001646690226725,2.0,2.0690725411426854e-09
44,-10.992244387463325,2.0,2.1673494439282588e-09
45,-10.986917498758302,2.0,-2.7028478612790843e-06
46,-10.98328778093877,2.0,0.9999990326949001
47,-10.980304188968457,2.0,9.57623775774978e-08
48,-10.979141254984032,2.0,-2.99863302255526e-06
49,-10.978733814974158,2.0,-2.6432623417394667e-07
50,-10.977687334279214,2.0,0.9999999934509356
51,-10.976506988436137,2.0,4.851177182792962e-07
52,-10.96903114310365,2.0,3.890146016503502e-10
53,-10.962377618893546,2.0,1.581736533175719e-11
54,-10.960709442659732,2.0,2.95388899803342e-10
55,-10.955151558523491,2.0,-3.217046810781801e-06
56,-10.948596538378405,2.0,-9.013659861778566e-09
57,-10.93437823439407,2.0,-4.36201961174519e-07
58,-1.4540280639397354,2.0,7.548013605208477e-11
59,-1.3321193846797676,2.0,0.9998329335385733
60,-1.3095665871464468,2.0,0.9999986793684214
61,-1.3060902445651132,2.0,3.2824722811405076e-08
62,-1.3032569901739604,2.0,5.331025850914488e-07
63,-1.291141192165409,2.0,0.9999792567376146
64,-1.277318906290895,2.0,4.251295045571981e-10
65,-1.2685574392803205,2.0,2.0627838230934805e-06
66,-1.2547868182200599,2.0,1.3354467898761912e-06
67,-1.2476412700473398,2.0,0.9999946390001039
68,-1.2388678367762278,2.0,0.0032548142335479444
69,-1.226500027286742,2.0,0.9962771175958686
70,-1.1603921419675576,2.0,0.9437737321100583
71,-1.1440709224422325,2.0,0.07235262165126406
72,-1.1392234864984179,2.0,0.00037426836898671095
73,-1.099001833144599,2.0,0.9807517498106878
74,-1.0823482333638963,2.0,0.0003439928150189588
75,-1.0681133740897741,2.0,0.0186519094401417
76,-1.0636930918935037,2.0,0.33323336664520126
77,-1.0633171179313081,2.0,0.6517489425176108
78,-1.0413283098209645,2.0,0.004429120944192441
79,-1.0383176798273372,2.0,0.0003245863719436187
80,-1.028175362549756,2.0,0.9642600076612176
81,-1.0148891339563897,2.0,0.036425026301069724
82,-0.9992216539680703,2.0,9.986604381727408e-06
83,-0.9575736336979026,2.0,0.0034892667600953295
84,-0.9552337635173491,2.0,0.009603272775214756
85,-0.9481440085934998,2.0,0.9863485201616647
86,-0.9397499522051067,2.0,1.7592563689709656e-05
87,-0.9175896617382455,2.0,0.8709367912414905
88,-0.9129585836095568,2.0,0.16365322996165452
89,-0.9018013728436811,2.0,0.0006524929016322123
90,-0.8875715687197188,2.0,0.959564141363297
91,-0.8860478712817607,2.0,0.03877352869848988
92,-0.8777275900297195,2.0,0.0007417050900757423
93,-0.8630431985322935,2.0,0.11328318501035278
94,-0.8585821864544707,2.0,1.9313816072043017e-05
95,-0.8582878027608946,2.0,0.8716412563274688
96,-0.8509923115400513,2.0,0.9819842119883901
97,-0.8416330182202381,2.0,0.0005802023301114796
98,-0.8274104753316048,2.0,0.9743148719379685
99,-0.8259471172306174,2.0,0.0223461937372977
100,-0.8161469164804704,2.0,0.988307034265164
101,-0.8056814270478565,2.0,0.0014269847994201133
102,-0.7961816820059366,2.0,6.7742558504479e-07
103,-0.7838299395527664,2.0,0.0018932259441217176
104,-0.771667539569588,2.0,0.0021233590030333297
105,-0.7536807939001677,2.0,0.000620210049346777
106,-0.7446107614280195,2.0,6.249616775704353e-05
107,-0.7408422466723981,2.0,0.0015276902583630733
108,-0.7323409808278989,2.0,0.09726356733745485
109,-0.7278903332609798,2.0,0.9187308858575893
110,-0.7231888841403549,2.0,0.9510606720694962
111,-0.7107726019802925,2.0,0.9606388127055524
112,-0.7024968835446694,2.0,0.0030850995984333307
113,-0.7012641479625364,2.0,0.4188027200248116
114,-0.6963018050686494,2.0,0.582401415059177
115,-0.6929702695326376,2.0,0.07384875972197914
116,-0.6926049331900227,2.0,0.018044825724001866
117,-0.6697680988968777,2.0,0.04280171307482398
118,-0.6499081150708383,2.0,0.503982907306598
119,-0.6495593252984145,2.0,0.4516080670101077
120,-0.6315157274848245,2.0,0.003716120653108585
121,-0.6312899225323078,2.0,0.09163333010889366
122,-0.6266236813543196,2.0,0.8243489865330801
123,-0.6215470736696518,2.0,0.9155267767328004
124,-0.6203809606764585,2.0,0.012558564555718781
125,-0.6084743830317101,2.0,0.8222527005531249
126,-0.6041496195795013,2.0,0.07715641185640486
127,-0.6030413997835684,2.0,0.40660965035417523
128,-0.5984513282567345,2.0,0.7760808052003274
129,-0.5913008531236847,2.0,0.4563225589485886
130,-0.5877221700344273,2.0,0.5679560657124895
131,-0.5791480940028673,2.0,0.01727509534555039
132,-0.5735393317456516,2.0,0.9328739547575898
133,-0.5667088156738247,2.0,0.4077307209827914
134,-0.565937209547407,2.0,0.9485070305366013
135,-0.5616735391212873,2.0,0.17164291134309445
136,-0.5584046772523834,2.0,0.880543614086525
137,-0.5566423439867989,2.0,0.289505207964194
138,-0.5547328041920738,2.0,0.08624280014468635
139,-0.5506747565946941,2.0,0.6962753625751208
140,-0.5505625297888127,2.0,0.16397717742648876
141,-0.5470347920990952,2.0,0.543977369077075
142,-0.5437008898587821,2.0,0.5194208385930889
143,-0.5396673068476916,2.0,0.06875327474568341
144,-0.535270408793836,2.0,0.031001005933452428
145,-0.5288854016641693,2.0,0.9911865750881639
146,-0.5247410670641026,2.0,0.09315116685798298
147,-0.5204902446663778,2.0,0.12714079550729912
148,-0.519947292450169,2.0,0.020076384379039868
149,-0.511691131343887,2.0,0.216221392084168
150,-0.5104407971921036,2.0,0.7098225120299048
151,-0.5066732556707247,2.0,0.021787491871576564
152,-0.5026796280410974,2.0,0.6368376778870742
153,-0.502291462436769,2.0,0.27774827991866075
154,-0.49869901325818033,2.0,0.03720588007268779
155,-0.4979318324968138,2.0,0.06204622655918925
156,-0.4917783683525325,2.0,0.06423727063212661
157,-0.4893286847272478,2.0,0.2339072313730138
158,-0.48706889178131707,2.0,0.17707423784642853
159,-0.4819380009350322,2.0,0.5523273239143638
160,-0.4803501510143545,2.0,0.07916159260681019
161,-0.4784262424949117,2.0,0.2191096497144728
162,-0.4767733101789069,2.0,0.037514311760424725
163,-0.4764523603325279,2.0,0.902174347090541
164,-0.4708771263129312,2.0,0.8675891056135399
165,-0.4681368605601077,2.0,0.00640645362734932
166,-0.4623377592830322,2.0,0.9468467265168118
167,-0.4552030737077187,2.0,0.03835708658348325
168,-0.45404001453928244,2.0,0.8322279848081366
169,-0.4513444347790345,2.0,0.06049201471523169
170,-0.4464479737891873,2.0,0.01035244569472252
171,-0.4442902822464727,2.0,0.014248719090457647
172,-0.43899314992645455,2.0,0.0022611815958198606
173,-0.4346212336577042,2.0,0.06942511458851576
174,-0.4315339133178142,2.0,0.03977621733796314
175,-0.42203236459337967,2.0,0.6827600131860053
176,-0.41722837591760326,2.0,0.048632582629601684
177,-0.4166648139044809,2.0,0.009670062663798116
178,-0.4154680278370341,2.0,0.2912221915755897
179,-0.4118380647168063,2.0,0.84402386966144
180,-0.4033176085475696,2.0,0.02477073192761352
181,-0.4017124669953964,2.0,0.005681480969306696
182,-0.39305028205785875,2.0,0.03535330539797054
183,-0.391436553910705,2.0,0.9664828999760966
184,-0.3835062728276495,2.0,0.009946560592955008
185,-0.3804559182111653,2.0,0.9870019602642396
186,-0.37777534054518425,2.0,0.15651477092840252
187,-0.3757105705076955,2.0,0.8563036401057056
188,-0.37483046645734286,2.0,0.010105464370482193
189,-0.36573525949007074,2.0,0.9471818373107193
190,-0.3642196056194582,2.0,0.8567526751067546
191,-0.3557321522757454,2.0,0.02030998865148088
192,-0.35530150146310596,2.0,0.02219955863863498
193,-0.3513664468109192,2.0,0.9160522973277506
194,-0.3496304222432487,2.0,0.00352905015031334
195,-0.3438228029154933,2.0,0.015635471641397652
196,-0.33156961505129634,2.0,0.014194695685619218
197,-0.32952537280695693,2.0,0.36268104327120826
198,-0.3256254414133426,2.0,0.8691714750211497
199,-0.3176719767227727,2.0,0.003383834365644142
200,-0.30793991577586066,2.0,0.0061315768647115815
201,-0.2988749132021987,2.0,0.08762936317121203
202,-0.29758627647276287,2.0,0.8251533818239992
203,-0.2941514659107589,2.0,0.012728803643069194
204,-0.2847711912836557,2.0,0.02552927865949049
205,-0.26958989156067314,2.0,0.005916961837144613
206,-0.2622671510879906,2.0,0.9704907562654347
207,-0.252494418169686,2.0,0.000589032528701125
208,-0.23708808202493126,2.0,0.0001880500810321739
209,-0.22764815978871167,2.0,0.018602152698111142
210,-0.20884677149064168,2.0,0.00014033816409463658
211,-0.20427488142074665,2.0,0.9958175914547172
212,-0.20349728977520232,2.0,0.0019263364779105304
213,-0.18653796615360263,2.0,0.9916069410293611
214,-0.17011057989187472,2.0,0.019678610724408754
215,-0.1244116533070243,2.0,0.027541709457343896
216,-0.11630920898456254,2.0,0.013665701645931476
217,-0.07182425317385732,2.0,0.0011536779903515832
218,0.10065754012150396,0.0,5.947738685837715e-08
219,0.19596112155616785,0.0,0.9966420561248501
220,0.2445062319337309,0.0,0.13723861434266738
221,0.2509431938526856,0.0,0.8663328540941988
222,0.2881620600049485,0.0,4.344597817133364e-06
223,0.30773554081301957,0.0,0.23508483832556443
224,0.3085154149566331,0.0,0.998857030515365
225,0.3093637879626884,0.0,0.7722627681961173
226,0.3463589359889071,0.0,5.30377130244299e-05
227,0.3636715252530548,0.0,0.002129631725617431
228,0.37224727949782577,0.0,2.1511409247397856e-05
229,0.4025387747467605,0.0,1.6359683716076876e-07
230,0.43748715313071684,0.0,0.9961429230816145
231,0.4414876250126598,0.0,1.2339860998239005e-05
232,0.4616586655954761,0.0,4.330920030819683e-07
233,0.4773710576432524,0.0,0.02322926465516231
234,0.49212075100287067,0.0,0.00013042525964507504
235,0.5054861259615719,0.0,0.045780566164461606
236,0.515614007716301,0.0,0.9851950472208164
237,0.5252286963156098,0.0,0.006581463787847673
238,0.5301581122028864,0.0,0.9792301104307272
239,0.5383644521756532,0.0,0.947708138145069
240,0.5449857766589887,0.0,0.02023241056571524
241,0.5611320971567735,0.0,0.0019020294166590902
242,0.5718708307905609,0.0,0.9865567878247611
243,0.5787111650689789,0.0,0.006961808125123362
244,0.5828680021601691,0.0,0.9651616147347476
245,0.5918367353024321,0.0,0.0029017136702543184
246,0.5972456669044721,0.0,0.7082959118689865
247,0.6090639122648045,0.0,0.006443691122994777
248,0.6099897353309998,0.0,0.04267085137260121
249,0.6111495409579235,0.0,0.3824772099824798
250,0.6197708077924788,0.0,0.2877631376677429
251,0.6212495087481553,0.0,0.22235724344966565
252,0.6263029324087098,0.0,0.29353533267137016
253,0.6332270732156386,0.0,0.6668889543579152
254,0.6359448151108942,0.0,0.17733408716777738
255,0.6408915887660711,0.0,0.22892473563592913
256,0.6442440600798678,0.0,0.9296831391788978
257,0.6500238037662014,0.0,0.30176176380084707
258,0.6559082253895511,0.0,0.4461813135993022
259,0.658173145145229,0.0,0.24313042347312125
260,0.6624161320916342,0.0,0.06692704227545225
261,0.6657369781126986,0.0,0.22003277805009663
262,0.6666436836501297,0.0,0.5793300712659144
263,0.6765086268616133,0.0,0.14910988798034355
264,0.6789876783376728,0.0,0.20670360075114844
265,0.6836493863084759,0.0,0.14017075962670247
266,0.6873673738136395,0.0,0.6112049461511284
267,0.6925050651387542,0.0,0.5654081064332053
268,0.6943453913293822,0.0,0.15753201662571586
269,0.6959522062049227,0.0,0.43954923041699817
270,0.6990055707554991,0.0,0.2996396762059316
271,0.7010665825595818,0.0,0.7185333481582084
272,0.7029010222250002,0.0,0.09168733931828726
273,0.7101592140228777,0.0,0.9764769890563194
274,0.7113461028905579,0.0,0.18363973962700733
275,0.7119681025914719,0.0,0.31434367287777704
276,0.7191155848930368,0.0,0.5240478453446658
277,0.7200557455110964,0.0,0.173001006796507
278,0.7264036973620609,0.0,0.8398212250039754
279,0.7334799482207008,0.0,0.356459798188101
280,0.7337759893881147,0.0,0.3979535844469177
281,0.7367501867720723,0.0,0.268907285149304
282,0.74433562652839,0.0,0.8849894989742443
283,0.7465095966444286,0.0,0.09420741208167958
284,0.7473976766782471,0.0,0.5679542728441419
285,0.7496291947534497,0.0,0.8307428007582298
286,0.7513872060516686,0.0,0.29628020957052764
287,0.7529541441289761,0.0,0.06224350069588999
288,0.7579846133103053,0.0,0.47694009074774074
289,0.7590367927354469,0.0,0.5815010797193579
290,0.7618331732492587,0.0,0.3475999658122298
291,0.7640741745118604,0.0,0.12788240707577903
292,0.7672837198686195,0.0,0.07078109699385468
293,0.7706386372324758,0.0,0.07752837582646847
294,0.7726798913879729,0.0,0.05566311144726467
295,0.7754053020856427,0.0,0.3394121819629273
296,0.7767370052616553,0.0,0.3697091024399846
297,0.7780678324169983,0.0,0.3564974409230021
298,0.7841442688864048,0.0,0.9035158432538076
299,0.7916883647086994,0.0,0.28438323539889127
300,0.7974272552088877,0.0,0.6474880583038112
301,0.8005273458895004,0.0,0.07813174400184111
302,0.8020016165952175,0.0,0.0809404910912426
303,0.8043687181152419,0.0,0.8305165576257139
304,0.809752888894544,0.0,0.048190741160971474
305,0.813145411443208,0.0,0.009173034025413179
306,0.8192467655159776,0.0,0.02826260770076162
307,0.8208686252900799,0.0,0.02583935121227146
308,0.8222113671845276,0.0,0.03406168455067943
309,0.8283649317936194,0.0,0.9423301092110082
310,0.8323976394619497,0.0,0.041132591629159825
311,0.8379508534060611,0.0,0.09120120433284619
312,0.8415532977394465,0.0,0.16372866511154127
313,0.8457524830317624,0.0,0.24569369016313528
314,0.847461403576292,0.0,0.4245199948152215
315,0.848519748699528,0.0,0.0004257903335608137
316,0.8496154500186114,0.0,0.02933026270428437
317,0.8540951651018689,0.0,0.07931761413391836
318,0.8635001060431695,0.0,0.05351297613820921
319,0.8729535371305399,0.0,0.12833933840373424
320,0.8772153345534242,0.0,0.10367983282099306
321,0.8794060541191399,0.0,0.08264632645032634
322,0.886152738844989,0.0,0.015239442686763607
323,0.8941166660439537,0.0,0.4571511322499295
324,0.8971041890318887,0.0,0.592455433313758
325,0.914139776678552,0.0,0.2821145596279609
326,0.9158643027224613,0.0,0.678569991160508
327,0.9176144158168016,0.0,0.2393999007142817
328,0.9290497631389096,0.0,0.006557401117996129
329,0.9340793100838636,0.0,0.009813082234559147
330,0.9362142882867841,0.0,0.8975399096941803
331,0.9420297300762464,0.0,0.529250106342943
332,0.9448656398502749,0.0,0.5272161107076363
333,0.9466273989839853,0.0,0.006558195336997161
334,0.956542129936194,0.0,0.017533396918787525
335,0.9686412345139289,0.0,0.0004651264213830692
336,0.9763527586079574,0.0,0.615659611822638
337,0.998262752105435,0.0,0.8112978826912346
338,1.0027010374407446,0.0,0.1767301324748715
339,1.026719077475684,0.0,0.0026652523386590243
340,1.0418311270880731,0.0,0.2354793533962714
341,1.0453533662395953,0.0,0.7665238331332406
342,1.09346786043156,0.0,0.5869573753479466
343,1.0977869261667519,0.0,0.41055745020665135
344,1.1058407639352972,0.0,0.0030037413738870965
345,1.1356876935432445,0.0,0.011402937006132409
346,1.1442933740063166,0.0,0.9845145070228839
347,1.1745798838222374,0.0,0.7263855798262995
348,1.1797632121549695,0.0,0.27139287414195834
349,1.201636416276984,0.0,0.0021593894682910707
